;class;text;username;password
10;"Neg,""Usul yang rasional Dianggap hanya untuk menampung relawan & bekerja untuk kepentingan politik. @fadlizon Minta Kantor Staf Presiden (KSP) DIBUBARKAN"",@PembawaCerita,5/17/2018";;;
11;Neg;Fahri Hamzah: Musuh Kita adalah Pemerintah yang Gagal Membuat Kita Bersaudara;@CybernesiaID;5/15/2018
12;Neg;Waduh! BPJS semakin menyusahkan rakyat Kita pingin #2019GantiPresiden biar BPJS kembali jalankan UU dg JKN yg kapabel utk kesehatan rakyat;@elfizal;7/27/2018
13;Neg;Jokowi jk dah lengser perlu di arak kliling indonesia dgn di telanjangi;@HLife2000;5/21/2018
14;Neg;Korban Pencitraan..! Nyawa Rakyat melayang karena KELAPARAN..! Lalu Negara dmn? #2019GantiPresiden;@sep_colin;7/27/2018
15;Neg;Yang MAMPU MEMBUNGKAM MULUT REZIM dan pendamping nya SAAT DEBAT nanti adalah PAS2019 #2019GantiPresiden Disitulah rakyat melihat dengan mata kepala sendiri.;@harychandra091;7/27/2018
16;Neg;tau aja y media asing Pemerintahan jokowi hanya doyan pencitraan. #2019GantiPresiden;@Bangau00;7/27/2018
17;Neg;Tiap hari bikin pencitraan. Dari bikin mobil esemka sampai bikin pesawat. Rakyat sudah tau.. ha..ha..ha.. skalian aja bikin pesawat siluman amerika / pesawat ulang alik luar angkasa.. trus bikin kapal titanix versi baru kodok. ha..ha..ha.. #2019GantiPresiden;@fifa_fifi88;7/27/2018
18;Neg;Pendukung penista agama wajib dibenamkan... #2019GantiPresiden;@Iwandenig;7/27/2018
19;Neg;Minta sama ibu mu..! Mana berani Jokowi mecat..! #2019GantiPresiden;@sep_colin;7/27/2018
20;Neg;Proven : Islam dan Umat Muslim memang musuh nomor 1 Partai Komunis di seluruh Dunia... Maka untuk itu #2019GantiPresiden spy RI bs kirim bantuan militet dan politik untuk muslim di sana;@SangarjunaCool;7/27/2018
21;Pos;siapapun pemimpin yang telah terpilih dan akan terpilih itulah yang terbaik pada saat tersebut;percayakan pada ketetapan allah #terimakasih2018 #HappyNewYear #PemimpinAdemDamai #Presidenku;@Ibr_musthofa
22;30/12/2018;;;
23;Pos;Assalamualaikum wr.wb. Alhamdulillah sehat pak @jokowi semangat terus pak semoga dengan niat baik bapak membangun dan memperbaiki indonesia sukses..maju terus pak #Presidenku;@Bocah_ndesooo;09/12/2018
24;Pos;Dia ini bukan sosok yang asing saya. Keindonesiaannya tidak membuatnya berbeda dengan saya. Oleh sebab itu. semua orang Indonesia harusnya bisa nyaman bersamanya. Sebab dia;saya dan semua di antara kita adalah Indonesia. #Presidenku #Salam2periode;@mugundi
25;30;Des-18;;
26;Pos;Dari aspek strategi kampanye. kubu paslon nomor 01 menggunakan strategi positif campaign. #NeoOrdeBaru #Pilpres2019 #SayNoToOrba;@sitinyadia;05/01/2019
27;Pos;Setelah baca kisah ini jadi tambah ngerti kalo pak @prabowo sosok yg tegas disiplin dan penuh tanggung jawab#presidenku;@mascacuk78;29/11/2018
28;Pos;Pak Jokowi #PresidenKu selalu bekerja dengan Hati..rakyat yang melihat dengan nurani pasti memberikan Apresiasi..Janganlah sudut pandang ditutupi iri;amarah dan dengki..hasilnya hanya rasa Frustasi..lalu kebingungan karena tidak bisa menonjolkan Prestasi !! #JokowiSekaliLagi;elsye_0704
29;16/04/2018;;;
30;Pos;Emang Pak jokowi Kerja Nyata;hasilnya juga nyata #4TahunJokowi #2019JokowiKyaiMaruf #2019TetapJokowi #TetapJokowi #Jokowi2Periode #IndonesiaMaju #Jokowi #MarufAmin #pilpres #pilpres2019 #4TahunJokowiJK #IngatJokowi #TransJawa #InfrastrukturJokowi;@IkhsanAbbas
31;31/12/2018;;;
32;Pos;Sulawesi. bila di 2014. suara Jokowi sangat terbantu karena keberadaan JK. Di #Pilpres2019 petanya akan berbalik. Sulawesi akan menjadi penyumbang suara cukup besar bagi #PrabowoSandi;@RobbaniProject;30/12/2018
33;Pos;Dalam 3 bulan ke depan. semua paslon akan semakin mengusahakan kemenangan dan menekan lawan di #Pilpres2019 nanti. Semua strategi akan digunakan demi kemenangan;@FrederikArie;05/01/2018
34;Pos;Alhamdulillah. Prestasi lagii...Terima kasih Pak Jokowi..Terus lah bekerja dan berkarya untuk mensejahterakan masyarakat di seluruh pelosok Negeri kita tercinta ini..!!#01Indonesiamaju#JokowiAminLebihBaik #2019tetapjokowi #2019pilihjokowi #membangunindonesia#pilpres2019;@Silvia_Rahma;06/01/2019
35;"Pos,""langkah cerdas.... pantesan banyak yang mau lengserkan Pak @jokowi heheheh saking kerjanya nyata"" ,@haebitdalbit,4/20/2018";;;
36;"Pos,""Tanpa banyak bicara dia membangun indonesia #TetapJokowi #IndonesiaMaju #JokowiOrangBaik"",@nananin82152946,12/26/2018";;;
37;"Pos,""Jangan main2 lengserkan jokowi!! Sekali Jokowi keluarkan perintah..rakyat bergerak!!! #2019tetapjokowi"",@inyongmanise,11/4/2016";;;
38;"Pos,""Bahagianya Jawa Barat memiliki Bandar Udara International Kertajati Nikmat mana lg yg kau dustakan wahai Rakyat Jawa Barat! Terima kasih Pak @jokowi Semoga membawa kebaikan untuk semua."",@adiawae,5/24/2018";;;
39;"Pos,""Indonesia telah menjadi negara berpendapatan menengah dengan fondasi yang semakin kuat dan kokoh. #kuwera #diasibukkerja #2019TetapJokowi #Jokowi2Periode"" ,@Halimah_Soleha,7/27/2018";;;
40;"Pos,""Berikut 4 (empat) Kebijakan @bank_indonesia Kendalikan Inflasi Harga Pangan: #kuwera #diasibukkerja #2019TetapJokowi #Jokowi2Periode"",@Halimah_Soleha,7/27/2018";;;
41;"Pos,""Tantangan internal yang dimaksud adalah ketersediaan pasokan pangan dan kelancaran distribusi. #kuwera #diasibukkerja #2019TetapJokowi #Jokowi2Periode"" ,@Halimah_Soleha,7/27/2018";;;
42;"Pos,""Koordinasi pemerintah pusat dan daerah yang semakin baik ini diharapkan dapat membawa inflasi turun ke rentang 1 persen-2 persen layaknya negara maju. #kuwera #2019TetapJokowi #Jokowi2Periode #AkuJokowi2019"",@Afiyah_Soleha,7/27/2018";;;
43;"Pos,""Jangan bilang hasil kerja Aher ya.. saya orang Kertajati lho. Pembebasan lahan dan pengerjaan. Beres setelah di tangani pak @jokowi . #2019TetapJokowi"" ,@Nani90964947,7/27/2018";;;
